image\result\Aaron_Eckhart\add\397.jpg,1
image\result\Aaron_Guiel\5\aligned_detect_5.1983.jpg,2
image\result\Abba_Eban\5\aligned_detect_5.64.jpg,5
image\result\Abba_Eban\5\aligned_detect_5.93.jpg,5
image\result\Aaron_Eckhart\add\377.jpg,1
image\result\Aaron_Tippin\1\aligned_detect_1.1646.jpg,4
image\result\Abba_Eban\add\154.jpg,5
image\result\Aaron_Sorkin\add\32.jpg,3
image\result\Aaron_Guiel\add\451.jpg,2
image\result\Aaron_Guiel\add\328.jpg,2
image\result\Aaron_Sorkin\add\173.jpg,3
image\result\Aaron_Sorkin\add\164.jpg,3
image\result\Aaron_Guiel\add\119.jpg,2
image\result\Abba_Eban\add\202.jpg,5
image\result\Aaron_Sorkin\add\185.jpg,3
image\result\Abba_Eban\5\aligned_detect_5.538.jpg,5
image\result\Aaron_Tippin\add\86.jpg,4
image\result\Aaron_Tippin\add\213.jpg,4
image\result\Aaron_Eckhart\add\88.jpg,1
image\result\Aaron_Eckhart\1\aligned_detect_1.189.jpg,1
image\result\Aaron_Sorkin\add\311.jpg,3
image\result\Aaron_Guiel\add\217.jpg,2
image\result\Aaron_Sorkin\add\66.jpg,3
image\result\Aaron_Sorkin\3\aligned_detect_3.470.jpg,3
image\result\Abba_Eban\5\aligned_detect_5.505.jpg,5
image\result\Aaron_Eckhart\add\306.jpg,1
image\result\Aaron_Guiel\5\aligned_detect_5.1904.jpg,2
image\result\Abba_Eban\add\267.jpg,5
image\result\Abba_Eban\add\245.jpg,5
image\result\Aaron_Guiel\5\aligned_detect_5.1874.jpg,2
image\result\Abba_Eban\add\170.jpg,5
image\result\Aaron_Eckhart\add\388.jpg,1
image\result\Aaron_Tippin\add\352.jpg,4
image\result\Aaron_Sorkin\0\aligned_detect_0.85.jpg,3
image\result\Aaron_Eckhart\add\69.jpg,1
image\result\Aaron_Tippin\add\327.jpg,4
image\result\Aaron_Sorkin\0\aligned_detect_0.58.jpg,3
image\result\Aaron_Guiel\add\301.jpg,2
image\result\Abba_Eban\5\aligned_detect_5.187.jpg,5
image\result\Aaron_Tippin\0\aligned_detect_0.467.jpg,4
image\result\Aaron_Guiel\add\35.jpg,2
image\result\Aaron_Eckhart\add\64.jpg,1
image\result\Aaron_Sorkin\add\272.jpg,3
image\result\Aaron_Sorkin\3\aligned_detect_3.483.jpg,3
image\result\Abba_Eban\5\aligned_detect_5.528.jpg,5
image\result\Aaron_Eckhart\1\aligned_detect_1.214.jpg,1
image\result\Aaron_Sorkin\add\48.jpg,3
image\result\Abba_Eban\add\272.jpg,5
image\result\Abba_Eban\add\41.jpg,5
image\result\Aaron_Tippin\1\aligned_detect_1.1636.jpg,4
image\result\Aaron_Eckhart\add\321.jpg,1
image\result\Aaron_Eckhart\add\70.jpg,1
image\result\Aaron_Sorkin\0\aligned_detect_0.80.jpg,3
image\result\Aaron_Sorkin\add\352.jpg,3
image\result\Aaron_Sorkin\add\288.jpg,3
image\result\Aaron_Sorkin\add\271.jpg,3
image\result\Aaron_Tippin\add\238.jpg,4
image\result\Aaron_Tippin\1\aligned_detect_1.1674.jpg,4
image\result\Aaron_Guiel\add\64.jpg,2
image\result\Aaron_Eckhart\add\91.jpg,1
image\result\Abba_Eban\5\aligned_detect_5.181.jpg,5
image\result\Aaron_Tippin\0\aligned_detect_0.483.jpg,4
image\result\Aaron_Tippin\1\aligned_detect_1.1652.jpg,4
image\result\Aaron_Guiel\add\397.jpg,2
image\result\Aaron_Guiel\5\aligned_detect_5.1853.jpg,2
image\result\Abba_Eban\add\76.jpg,5
image\result\Aaron_Eckhart\add\28.jpg,1
image\result\Aaron_Tippin\add\260.jpg,4
image\result\Aaron_Eckhart\add\133.jpg,1
image\result\Abba_Eban\5\aligned_detect_5.77.jpg,5
image\result\Abba_Eban\add\253.jpg,5
image\result\Aaron_Eckhart\0\aligned_detect_0.575.jpg,1
image\result\Aaron_Guiel\add\169.jpg,2
image\result\Aaron_Guiel\add\172.jpg,2
image\result\Aaron_Eckhart\add\82.jpg,1
image\result\Aaron_Sorkin\3\aligned_detect_3.505.jpg,3
image\result\Aaron_Eckhart\0\aligned_detect_0.626.jpg,1
image\result\Aaron_Guiel\add\191.jpg,2
image\result\Aaron_Eckhart\add\49.jpg,1
image\result\Abba_Eban\0\aligned_detect_0.78.jpg,5
image\result\Abba_Eban\add\179.jpg,5
image\result\Aaron_Eckhart\add\230.jpg,1
image\result\Aaron_Guiel\add\30.jpg,2
image\result\Aaron_Tippin\add\226.jpg,4
image\result\Aaron_Eckhart\add\319.jpg,1
image\result\Abba_Eban\5\aligned_detect_5.546.jpg,5
image\result\Aaron_Tippin\add\310.jpg,4
image\result\Abba_Eban\add\83.jpg,5
image\result\Aaron_Tippin\add\234.jpg,4
image\result\Aaron_Tippin\add\123.jpg,4
image\result\Abba_Eban\5\aligned_detect_5.151.jpg,5
image\result\Aaron_Eckhart\0\aligned_detect_0.606.jpg,1
image\result\Aaron_Tippin\add\219.jpg,4
image\result\Aaron_Guiel\add\283.jpg,2
image\result\Aaron_Sorkin\add\248.jpg,3
image\result\Aaron_Guiel\add\2.jpg,2
image\result\Aaron_Sorkin\add\306.jpg,3
image\result\Abba_Eban\5\aligned_detect_5.112.jpg,5
image\result\Aaron_Guiel\add\339.jpg,2
image\result\Abba_Eban\add\118.jpg,5
image\result\Aaron_Eckhart\add\236.jpg,1
image\result\Aaron_Sorkin\add\12.jpg,3
image\result\Abba_Eban\5\aligned_detect_5.490.jpg,5
image\result\Aaron_Eckhart\add\325.jpg,1
image\result\Aaron_Eckhart\add\219.jpg,1
image\result\Aaron_Tippin\add\74.jpg,4
image\result\Abba_Eban\5\aligned_detect_5.198.jpg,5
image\result\Aaron_Eckhart\add\129.jpg,1
image\result\Aaron_Guiel\add\354.jpg,2
image\result\Aaron_Tippin\add\160.jpg,4
image\result\Aaron_Guiel\add\330.jpg,2
image\result\Aaron_Guiel\add\383.jpg,2
image\result\Aaron_Guiel\add\208.jpg,2
image\result\Aaron_Tippin\add\188.jpg,4
image\result\Aaron_Eckhart\0\aligned_detect_0.610.jpg,1
image\result\Aaron_Guiel\add\314.jpg,2
image\result\Aaron_Sorkin\add\297.jpg,3
image\result\Abba_Eban\add\103.jpg,5
image\result\Aaron_Sorkin\add\89.jpg,3
image\result\Aaron_Tippin\add\174.jpg,4
image\result\Abba_Eban\5\aligned_detect_5.108.jpg,5
image\result\Aaron_Guiel\add\178.jpg,2
image\result\Aaron_Tippin\0\aligned_detect_0.500.jpg,4
image\result\Aaron_Sorkin\0\aligned_detect_0.122.jpg,3
image\result\Abba_Eban\add\262.jpg,5
image\result\Aaron_Guiel\5\aligned_detect_5.1991.jpg,2
image\result\Aaron_Tippin\add\319.jpg,4
image\result\Aaron_Tippin\add\157.jpg,4
image\result\Aaron_Eckhart\1\aligned_detect_1.193.jpg,1
image\result\Aaron_Tippin\1\aligned_detect_1.1612.jpg,4
image\result\Abba_Eban\5\aligned_detect_5.542.jpg,5
image\result\Aaron_Guiel\add\391.jpg,2
image\result\Aaron_Tippin\0\aligned_detect_0.504.jpg,4
image\result\Aaron_Tippin\0\aligned_detect_0.407.jpg,4
image\result\Aaron_Sorkin\add\335.jpg,3
image\result\Aaron_Guiel\add\348.jpg,2
image\result\Aaron_Guiel\add\416.jpg,2
image\result\Aaron_Sorkin\add\33.jpg,3
image\result\Aaron_Tippin\1\aligned_detect_1.1659.jpg,4
image\result\Aaron_Guiel\add\83.jpg,2
image\result\Aaron_Guiel\add\197.jpg,2
image\result\Abba_Eban\5\aligned_detect_5.90.jpg,5
image\result\Aaron_Sorkin\add\295.jpg,3
image\result\Aaron_Sorkin\0\aligned_detect_0.86.jpg,3
image\result\Aaron_Tippin\0\aligned_detect_0.497.jpg,4
image\result\Abba_Eban\5\aligned_detect_5.12.jpg,5
image\result\Aaron_Sorkin\add\186.jpg,3
image\result\Aaron_Tippin\add\21.jpg,4
image\result\Aaron_Eckhart\1\aligned_detect_1.207.jpg,1
image\result\Abba_Eban\add\222.jpg,5
image\result\Aaron_Tippin\add\52.jpg,4
image\result\Aaron_Guiel\add\400.jpg,2
image\result\Abba_Eban\add\195.jpg,5
image\result\Aaron_Tippin\add\158.jpg,4
image\result\Aaron_Guiel\add\82.jpg,2
image\result\Aaron_Eckhart\0\aligned_detect_0.558.jpg,1
image\result\Aaron_Eckhart\add\9.jpg,1
image\result\Abba_Eban\add\301.jpg,5
image\result\Aaron_Eckhart\0\aligned_detect_0.593.jpg,1
image\result\Aaron_Sorkin\3\aligned_detect_3.587.jpg,3
image\result\Aaron_Tippin\add\16.jpg,4
image\result\Aaron_Guiel\5\aligned_detect_5.1980.jpg,2
image\result\Aaron_Guiel\add\107.jpg,2
image\result\Aaron_Sorkin\3\aligned_detect_3.577.jpg,3
image\result\Aaron_Eckhart\add\391.jpg,1
image\result\Aaron_Sorkin\add\338.jpg,3
image\result\Aaron_Sorkin\0\aligned_detect_0.114.jpg,3
image\result\Aaron_Sorkin\3\aligned_detect_3.466.jpg,3
image\result\Abba_Eban\add\59.jpg,5
image\result\Abba_Eban\add\97.jpg,5
image\result\Aaron_Eckhart\add\237.jpg,1
image\result\Aaron_Sorkin\add\258.jpg,3
image\result\Aaron_Eckhart\add\140.jpg,1
image\result\Aaron_Eckhart\add\263.jpg,1
image\result\Aaron_Guiel\5\aligned_detect_5.1894.jpg,2
image\result\Aaron_Tippin\add\69.jpg,4
image\result\Aaron_Tippin\0\aligned_detect_0.498.jpg,4
image\result\Aaron_Eckhart\add\369.jpg,1
image\result\Aaron_Tippin\add\324.jpg,4
image\result\Aaron_Sorkin\add\26.jpg,3
image\result\Abba_Eban\0\aligned_detect_0.117.jpg,5
image\result\Aaron_Eckhart\0\aligned_detect_0.632.jpg,1
image\result\Aaron_Sorkin\add\133.jpg,3
image\result\Aaron_Guiel\add\106.jpg,2
image\result\Aaron_Sorkin\add\172.jpg,3
image\result\Aaron_Sorkin\3\aligned_detect_3.536.jpg,3
image\result\Abba_Eban\5\aligned_detect_5.185.jpg,5
image\result\Aaron_Sorkin\add\106.jpg,3
image\result\Aaron_Guiel\5\aligned_detect_5.1918.jpg,2
image\result\Aaron_Eckhart\2\aligned_detect_2.1740.jpg,1
image\result\Abba_Eban\0\aligned_detect_0.79.jpg,5
image\result\Aaron_Sorkin\0\aligned_detect_0.100.jpg,3
image\result\Aaron_Tippin\0\aligned_detect_0.412.jpg,4
image\result\Aaron_Guiel\add\343.jpg,2
image\result\Aaron_Sorkin\3\aligned_detect_3.576.jpg,3
image\result\Aaron_Sorkin\add\215.jpg,3
image\result\Aaron_Sorkin\add\200.jpg,3
image\result\Aaron_Eckhart\add\19.jpg,1
image\result\Abba_Eban\add\82.jpg,5
image\result\Aaron_Eckhart\1\aligned_detect_1.210.jpg,1
image\result\Aaron_Guiel\5\aligned_detect_5.1966.jpg,2
image\result\Aaron_Sorkin\3\aligned_detect_3.544.jpg,3
image\result\Aaron_Sorkin\add\171.jpg,3
image\result\Aaron_Tippin\add\106.jpg,4
image\result\Aaron_Sorkin\3\aligned_detect_3.442.jpg,3
image\result\Aaron_Tippin\0\aligned_detect_0.514.jpg,4
image\result\Aaron_Tippin\1\aligned_detect_1.1664.jpg,4
image\result\Aaron_Guiel\5\aligned_detect_5.1883.jpg,2
